,Make,Model,year,CC,distance,transmission,color,price
75,Chevrolet,Lanos,2015,1500,140000,manual,Light grey,115000
76,Renault,Logan,2011,1600,197000,manual,Dark green,94000
77,Fiat,Shahin,2006,1600,180000,manual,Dark red,55000
78,Nissan,Sunny,2012,1600,150000,automatic,Silver,155000
79,Ford,Focus,2008,1598,100000,automatic,Gray,160000
80,Opel,Vectra,2008,1600,137000,automatic,Black,148000
81,Skoda,Octavia A4,2002,1600,168000,automatic,Eggplant,120000
82,Byd,F3,2017,1500,130000,manual,Gray,140000
83,Fiat,Shahin,2002,1400,200000,manual,Olive,49000
84,Lada,2107,2005,1600,100000,manual,Light grey,40000
85,Chevrolet,Lanos,2011,1500,175000,manual,Dark red,87000
86,Renault,Megane,2006,1600,150000,automatic,Gray,110000
87,Nissan,Sunny,2020,1500,8000,automatic,Red,245000
88,Mazda,323,2000,1600,280000,automatic,Gold,72000
89,Toyota,Echo,2000,1500,275000,automatic,Green,85000
90,Fiat,Linea,2009,1400,110000,manual,Blue,105000
91,Nissan,Sunny,2015,1400,23000,automatic,Gray,210000
92,Mitsubishi,Lancer,2000,1500,280000,automatic,Silver,95000
93,Fiat,Siena,2002,1400,200000,manual,White,48000
94,Daewoo,Lanos,2001,1400,180000,manual,Dark red,95000
95,Volkswagen,CC,2012,1400,140000,automatic,White,340000
96,Renault,Logan,2011,1400,135000,manual,Cyan,115000
97,Hyundai,Elantra HD,2019,1600,49000,automatic,Silver,310000
98,Daewoo,Lanos 2,2000,1500,345000,manual,Dark red,86000
99,Hyundai,Elantra MD,2016,1500,125000,automatic,Black,275000
100,Lada,2017,2005,1500,180000,manual,White,47000
101,Byd,F3,2012,1600,200000,manual,Black,100000
102,Nissan,Sunny,2014,1600,120000,automatic,Silver,115000
103,Toyota,Corolla,2013,1600,128000,automatic,Light grey,290000
104,Hyundai,Accent RB,2015,1600,82000,automatic,Silver,240000
105,Honda,Civic,1992,1600,100000,manual,Black,70000
106,Daewoo,Nubira 2,2006,1600,192000,manual,Black,84000
107,Fiat,Siena,2001,1600,165000,manual,Silver,58000
108,Renault,Logan,2015,1600,260000,manual,Silver,150000
109,Toyota,Yaris,2007,1500,166000,manual,Black,130000
110,Proton,Waja,2005,1600,92000,automatic,Black,113000
111,Lada,Granta,2018,1600,100000,manual,Gray,115000
112,Geely,Maple,2009,1600,60000,manual,Olive,55000
113,Nissan,Sunny,2012,1600,149000,automatic,Gray,175000
114,Mitsubishi,Lancer,2007,1600,135000,automatic,Silver,178000
115,Hyundai,Verna,2007,1600,208000,manual,Black,85000
116,Mitsubishi,Lancer,2015,1600,190000,automatic,Black,280000
117,Nissan,Sunny,2019,1500,34000,automatic,Gray,220000
118,Kia,Rio,2011,1400,210000,automatic,Silver,160000
119,Speranza,A516,2007,1600,129500,manual,Silver,80000
120,Opel,Vectra,2008,1600,200000,automatic,Black,135000
121,Chevrolet,Aveo,2007,1500,107000,manual,Black,100000
122,Hyundai,Accent,2006,1600,180000,manual,Gold,80000
123,Renault,Logan,2015,1600,193000,manual,Gold,130000
124,Lada,Granta,2020,1600,70000,automatic,Dark blue,150000
125,Chevrolet,Optra,2012,1600,196500,automatic,Light grey,165000
126,Citroën,C Elysee,2014,1600,110000,automatic,Gray,170000
127,Nissan,Sunny,2020,1500,48000,automatic,Silver,230000
128,Chevrolet,Lanos,2015,1500,119500,manual,Gray,123000
129,Ford,Focus,2010,1600,135000,automatic,Gold,148000
130,Kia,Shuma,2000,1600,300000,automatic,Black,88000
131,Opel,Astra,2007,1600,186000,automatic,Cyan,170000
132,Hyundai,Verna,2013,1600,300000,manual,White,100000
133,Lada,2107,2005,1500,93000,manual,White,48000
134,Kia,Cerato,2014,1600,148000,automatic,Silver,260000
135,Toyota,Corolla,2013,1600,95000,automatic,Silver,295000
136,Byd,F3,2019,1500,155000,manual,Light grey,160000
137,Hyundai,Elantra MD,2016,1600,165000,automatic,Blue,270000
138,Seat,Ibiza,2011,1600,100000,automatic,Black,163000
139,Skoda,Fantasia,2012,1600,154000,automatic,Gray,245000
140,Daewoo,Leganza,1999,1600,248000,manual,Black,60000
141,Peugeot,207,2010,1600,10000,automatic,Red,180000
142,Toyota,Corolla,2012,1600,90000,automatic,Silver,240000
143,Kia,Cerato,2011,1600,204000,automatic,Silver,239000
144,Mitsubishi,Lancer,2016,1600,127000,automatic,Dark red,320000
145,Fiat,Tipo,2019,1600,60000,automatic,White,330000
146,Hyundai,Elantra,2007,1600,115000,automatic,Silver,170000
147,Hyundai,Verna,2010,1600,220000,manual,Black,93000
148,Opel,Astra,2017,1600,113000,automatic,Black,275000
149,Renault,Fluence,2014,1600,125000,automatic,Black,220000
150,Kia,Rio,2009,1600,180000,automatic,Gray,140000
151,Hyundai,Avante,2005,1500,301111,automatic,Light grey,165000
152,Renault,Logan,2010,1600,270000,manual,Petroleum,103000
153,Chevrolet,Optra,2008,1600,210000,manual,Dark red,220000
154,Opel,Insignia,2014,1600,132000,automatic,Olive,330000
155,Chevrolet,Aveo,2020,1500,51000,automatic,Black,205000
156,Mitsubishi,Lancer,2016,1600,162000,automatic,Red,240000
157,Skoda,Octavia A7,2014,1400,172000,automatic,Black,230000
158,Mitsubishi,Lancer,2009,1600,365000,manual,Blue,150000
159,Renault,Logan,2016,1600,55000,automatic,Red,159000
160,Peugeot,301,2014,1600,117000,automatic,Gray,160000
161,Fiat,Tipo,2020,1600,40000,automatic,Dark red,325000
162,Nissan,Sunny,2019,1500,40000,automatic,Bronze,195000
163,Renault,Fluence,2012,1600,125000,automatic,Black,185000
164,Byd,F3,2017,1600,53000,manual,Gray,137000
165,Hyundai,Elantra AD,2017,1600,100000,automatic,Black,300000
166,Geely,Mk,2009,1600,109000,manual,Black,75000
167,Peugeot,508,2016,1600,171000,automatic,Mocha,305000
168,Hyundai,Accent,2008,1600,31000,manual,Red,145000
169,Brilliance,FSV,2012,1500,180000,manual,Silver,100000
170,Skoda,Octavia A4,2004,1600,274000,manual,Gray,129000
171,Chevrolet,Cruze,2015,1600,138000,automatic,Black,165000
172,Skoda,Octavia A4,2000,1600,140000,manual,Gray,110000
173,Proton,Gen 2,2015,1600,155000,automatic,Silver,150000
174,Renault,Megane,2008,1600,100000,automatic,Gray,180000
175,Byd,F3,2019,1500,1700,manual,Blue,140000
176,Kia,Rio,2006,1600,190000,automatic,Black,125000
177,Fiat,Tempra,1993,1600,200000,manual,Black,40000
178,Hyundai,Accent RB,2015,1600,81000,automatic,Silver,180000
179,Lada,2107,2008,1600,90000,manual,Silver,47000
180,Nissan,Sunny,2017,1600,68000,automatic,Black,185000
181,Citroën,C4,2007,1600,200000,automatic,Black,120000
182,Mitsubishi,Lancer,2007,1600,114000,automatic,Silver,178000
183,Speranza,A516,2008,1600,165000,manual,Black,77000
184,Kia,Optima,2009,1600,145000,automatic,Black,175000
185,Lada,2107,2008,1600,130000,manual,Gray,43000
186,Hyundai,Accent,2010,1600,153000,manual,Gold,132000
187,Fiat,Shahin,2003,1600,61000,manual,White,48000
188,Chevrolet,Optra,2013,1600,155000,automatic,Red,160000
189,Daewoo,Lanos 2,2004,1600,200000,manual,White,82000
190,Skoda,Octavia A5,2007,1600,216000,automatic,Gray,155000
191,Hyundai,Elantra HD,2019,1600,70000,automatic,Silver,275000
192,Mitsubishi,Lancer,2007,1600,200000,automatic,Gray,130000
193,Daewoo,Nubira 2,2005,1600,205000,automatic,Green,105000
194,Hyundai,Avante,2011,1600,110000,automatic,Silver,230000
195,Renault,Fluence,2013,1600,106000,automatic,Light grey,195000
196,Daewoo,Nubira 2,2004,1600,250000,manual,Black,65000
197,Hyundai,Accent,2011,1600,200000,automatic,Dark blue,150000
198,Mitsubishi,Lancer,2016,1600,45000,automatic,Dark red,300000
199,Chevrolet,Aveo,2013,1500,110000,manual,Black,112000
200,Peugeot,405,1997,1500,100000,manual,Dark red,75000
201,Skoda,Octavia A4,2006,1600,183000,automatic,Silver,155000
202,Speranza,M11,2011,1600,200000,manual,Dark red,85000
203,Hyundai,Elantra HD,2020,1600,17000,automatic,Light grey,290000
204,Mitsubishi,Lancer,2016,1600,37000,automatic,Black,300000
205,Geely,Emgrand 7,2017,1600,137000,manual,Black,135000
206,Daewoo,Lanos,2000,1600,135000,manual,Black,55000
207,Hyundai,Excel,1997,1600,200000,manual,Olive,42000
208,Chevrolet,Aveo,2009,1600,270000,manual,Light grey,95000
209,Hyundai,Excel,1997,1500,180000,manual,Green,58000
210,Geely,Maple,2010,1500,275000,manual,Dark blue,45000
211,Chevrolet,Optra,2009,1600,235000,automatic,Black,125000
212,Mazda,Familia,2000,1600,250000,manual,Olive,55000
213,Skoda,Rapid,2013,1600,55000,manual,Green,185000
214,Chevrolet,Aveo,2010,1500,250000,manual,Silver,85000
215,Hyundai,Verna,2007,1600,198000,manual,White,110000
216,Hyundai,Verna,2007,1400,220000,manual,Silver,260000
217,Kia,Cerato,2010,1600,183000,automatic,Light grey,200000
218,Hyundai,Accent,2009,1600,80000,automatic,Black,160000
219,Chevrolet,Lanos,2019,1600,60000,manual,Dark red,100000
220,Speranza,M11,2011,1600,250000,manual,Dark red,85000
221,Chevrolet,Aveo,2009,1600,120000,manual,Gray,105000
222,Chevrolet,Optra,2017,1600,55000,automatic,Silver,200000
223,Daewoo,Nubira 2,2000,1600,296000,manual,Silver,72000
224,BMW,320,2009,1600,134000,automatic,Silver,280000
225,Chery,Arrizo 5,2020,1500,125000,automatic,Eggplant,185000
226,Peugeot,301,2017,1600,181000,automatic,Silver,210000
227,Opel,Vectra,1999,1600,155000,manual,Dark green,115000
228,Nissan,Sunny,2007,1600,163000,automatic,Silver,128000
229,Daewoo,Leganza,1999,1500,260000,manual,Brown,65000
230,Daewoo,Nubira 2,2003,1600,190000,automatic,Black,90000
231,Daewoo,Lanos,1999,1600,100000,automatic,Dark red,65000
232,Volkswagen,Jetta,2012,1400,130000,automatic,Gray,249000
233,BMW,318,2000,1600,70000,automatic,Silver,170000
234,Nissan,Sentra,2018,1600,130000,automatic,Mocha,250000
235,Chevrolet,Lanos,2017,1500,145000,manual,Silver,139000
236,Byd,F3,2020,1500,45000,manual,Silver,195000
237,Opel,Astra,2020,1400,36000,automatic,Gray,330000
238,Daewoo,Lanos,2008,1400,80000,manual,Silver,85000
239,Skoda,Fantasia,2011,1600,107000,automatic,Dark red,265000
240,Renault,Logan,2017,1600,200000,manual,Light grey,130000
241,Mitsubishi,Lancer,2015,1600,150000,automatic,Silver,230000
242,Kia,Pride,1997,1600,129000,manual,Silver,68000
243,Chevrolet,Aveo,2009,1500,160000,manual,Red,105000
244,Hyundai,Elantra HD,2020,1500,70000,automatic,Silver,253000
245,Chevrolet,Aveo,2016,1500,90000,automatic,Dark red,170000
246,Kia,Cerato,2017,1500,200000,automatic,Gray,235000
247,Chevrolet,Cruze,2010,1600,97000,automatic,Cyan,190000
248,BMW,523,1998,1600,144000,automatic,Silver,200000
249,Peugeot,408,2012,1600,200000,automatic,Gray,180000
250,Chery,Arrizo 5,2020,1500,43000,manual,Silver,155000
251,Mitsubishi,Lancer,2007,1600,268000,manual,Red,122000
252,Geely,Emgrand 7,2014,1500,310000,manual,Light grey,95000
253,Hyundai,Elantra HD,2017,1500,84000,automatic,Silver,225000
254,Mercedes,E 200,2002,1500,230000,automatic,Black,280000
255,Chevrolet,Lanos,2015,1500,89000,manual,Dark blue,115000
256,Mitsubishi,Lancer,2006,1500,230000,automatic,Dark blue,140000
257,Mitsubishi,Lancer,2008,1600,250000,manual,Light grey,140000
258,Renault,Optima,1997,1600,100000,manual,Dark blue,38000
259,Skoda,Octavia A5,2008,1600,250000,automatic,Light grey,170000
260,Chevrolet,Optra,2006,1600,96000,automatic,Green,115000
261,Chevrolet,Optra,2009,1600,92000,automatic,White,160000
262,Peugeot,301,2015,1500,153000,automatic,Silver,180000
263,Speranza,A516,2007,1600,81000,manual,Black,90000
264,Geely,Emgrand 7,2015,1600,179000,manual,Black,105000
265,Daewoo,Nubira 2,2000,1600,300000,manual,Black,85000
266,Daewoo,Lanos,2000,1600,235000,manual,Red,60000
267,Mitsubishi,Galant,1993,1600,150000,manual,Silver,60000
268,Toyota,Corolla,2014,1600,80000,automatic,Silver,325000
269,Fiat,Siena,2001,1400,280000,manual,Red,60000
270,Mitsubishi,Lancer,2016,1600,80000,automatic,Gold,280000
271,Nissan,Sunny,2008,1600,177000,automatic,Gold,139000
272,Byd,L3,2017,1500,165000,manual,Mocha,110000
273,Hyundai,Elantra,2006,1500,258000,automatic,Black,100000
274,Renault,Logan,2013,1600,54300,manual,Silver,115000
275,Hyundai,Accent RB,2012,1600,90000,automatic,Red,193000
276,Volkswagen,Jetta,2011,1400,287000,automatic,Dark blue,195000
277,Renault,Logan,2017,1600,86000,automatic,Dark blue,175000
278,Renault,Logan,2015,1600,130000,manual,Silver,105000
279,Renault,Logan,2010,1600,100000,manual,Light grey,110000
280,Kia,Sephia,2000,1600,173000,manual,Petroleum,60000
281,Byd,F3,2020,1500,59000,manual,Mocha,190000
282,Daewoo,Lanos,2007,1500,190000,manual,White,95000
283,Kia,Cerato,2016,1600,150000,automatic,Black,250000
284,Kia,Sephia,2002,1600,195000,manual,White,55000
285,Skoda,Octavia A4,2008,1600,197000,automatic,Black,150000
286,Renault,Rainbow,2000,1600,280000,manual,White,37000
287,Hyundai,Elantra AD,2017,1600,53000,automatic,Light grey,315000
288,Hyundai,Accent,2006,1600,250000,manual,Silver,125000
289,Mitsubishi,Lancer,1992,1600,300000,manual,Dark red,56000
290,Mitsubishi,Lancer,2005,1600,280000,manual,Silver,112000
291,Opel,Astra,2000,1400,300000,manual,Black,75000
292,Chevrolet,Optra,2017,1600,57000,automatic,Blue,200000
293,Senova,A1,2016,1600,19000,manual,Dark red,122000
294,Chevrolet,Cruze,2016,1600,212000,automatic,Silver,200000
295,Hyundai,Elantra MD,2017,1600,108000,automatic,Bronze,250000
296,Chevrolet,Optra,2011,1600,160000,automatic,Gray,150000
297,Ds,DS5,2014,1600,100000,automatic,Black,270000
298,Chevrolet,Optra,2020,1600,98000,automatic,Dark red,223000
299,Daewoo,Lanos,2001,1600,200000,manual,Dark red,75000
300,Chevrolet,Lanos,2015,1600,83000,manual,Silver,117000
301,Nissan,Sunny,2014,1600,100000,automatic,Gray,125000
302,Opel,Vectra,1998,1600,70000,manual,Dark green,75000
303,Hyundai,Accent,2012,1600,28000,manual,Light grey,190000
304,Hyundai,Accent,2008,1600,139000,manual,Cyan,125000
305,Daewoo,Nubira 1,1997,1489,250000,manual,Gold,75000
306,Hyundai,Verna,2011,1600,300000,manual,White,107000
307,Hyundai,Elantra HD,2017,1600,120000,automatic,Eggplant,230000
308,Chevrolet,Aveo,2011,1600,200000,manual,Red,125000
309,Hyundai,Solaris,2016,1400,153000,automatic,Light grey,220000
310,Hyundai,Elantra MD,2015,1600,90000,automatic,Black,240000
311,Nissan,Sunny,2019,1600,47000,automatic,Red,240000
312,Hyundai,Elantra,2006,1600,277000,manual,Black,120000
313,Chevrolet,Optra,2014,1600,63000,automatic,Silver,215000
314,Mitsubishi,Lancer,2015,1600,133000,automatic,Gray,255000
315,Hyundai,Verna,2015,1600,150000,manual,Gray,135000
316,Chevrolet,Lanos,2013,1500,280000,manual,Dark red,100000
317,Nissan,Sunny,2008,1600,300000,automatic,Gold,100000
318,Chevrolet,Aveo,2007,1600,170000,manual,Silver,97000
319,Daewoo,Lanos,2003,1400,262000,manual,Gold,87000
320,Peugeot,301,2015,1600,145000,automatic,Light grey,145000
321,Daewoo,Nubira 2,2007,1600,250000,manual,Silver,75000
322,Proton,Gen 2,2014,1600,170000,automatic,Silver,150000
323,Hyundai,Elantra MD,2012,1600,115000,automatic,Silver,200000
324,Renault,Logan,2010,1600,288000,manual,Red,87000
325,Honda,Civic,2008,1600,201000,automatic,Mocha,193000
326,Daewoo,Lanos,1999,1500,205000,manual,Blue,95000
327,Daewoo,Lanos,2000,1500,139000,manual,Silver,65000
328,Citroën,C Elysee,2014,1600,150000,automatic,Champagne,165000
329,Nissan,Sunny,2013,1600,165000,automatic,Black,130000
330,MG,5,2020,1500,28000,automatic,Champagne,255000
331,Kia,Sephia,2000,1600,250000,automatic,Red,83000
332,Chevrolet,Optra,2011,1600,133000,automatic,Silver,150000
333,Chevrolet,Aveo,2012,1600,170000,automatic,Gray,130000
334,Nissan,Sunny,2013,1500,170000,automatic,Light grey,148000
335,BMW,525,2010,1500,200000,automatic,Black,300000
336,Nissan,Sunny,2013,1600,105000,automatic,Gold,159000
337,Chevrolet,Lanos,2011,1600,155000,manual,Silver,105000
338,Opel,Astra,2017,1600,207000,automatic,White,240000
339,Fiat,Tipo,2019,1600,27000,automatic,Black,270000
340,Citroën,C Elysee,2020,1600,28000,automatic,Black,85000
341,Ford,Focus,2018,1600,101000,automatic,Dark red,280000
342,Ford,Escort,1999,1600,100000,manual,Red,37000
343,Speranza,M11,2012,1600,136000,manual,Dark blue,87000
344,Mitsubishi,Attrage,2016,1600,150000,automatic,Red,145000
345,Kia,Cerato,2010,1600,155000,automatic,Red,160000
346,Saipa,Tiba,2014,1500,95000,manual,Dark red,85000
347,Mitsubishi,Lancer,2015,1600,136000,automatic,Black,225000
348,Daewoo,Nubira 2,2004,1600,200000,automatic,Silver,97000
349,Nissan,Sunny,2014,1600,85000,automatic,Gold,170000
350,Volkswagen,Jetta,2009,1600,112000,automatic,Silver,180000
351,Geely,Emgrand 7,2015,1600,140000,manual,Black,120000
352,Nissan,Sunny,2019,1500,49000,automatic,Dark red,225000
353,Chevrolet,Lanos,2011,1500,100000,manual,Dark red,130000
354,Hyundai,Accent,2008,1600,200000,automatic,Gray,135000
355,Renault,Logan,2009,1600,96000,manual,Petroleum,98000
356,Chery,Arrizo 5,2020,1600,54000,automatic,Cyan,195000
357,Chevrolet,Aveo,2016,1500,174000,automatic,Silver,148000
358,Hyundai,Elantra,2009,1600,157000,automatic,Light grey,180000
359,Toyota,Corolla,2007,1600,275000,automatic,Black,225000
360,Opel,Astra,2016,1600,170000,automatic,Light grey,255000
361,Chevrolet,Aveo,2014,1500,99000,manual,Dark red,103000
362,Daewoo,Nubira 2,2001,1600,180000,automatic,Dark green,95000
363,Kia,Rio,2015,1600,91000,automatic,Petroleum,215000
364,Skoda,Fantasia,2012,1600,160000,automatic,Gold,160000
365,Renault,Logan,2019,1600,65000,automatic,Red,190000
366,Opel,Vectra,2008,1600,117000,automatic,Dark red,160000
367,Nissan,Sunny,2005,1600,180000,manual,Dark red,110000
368,Geely,Emgrand 7,2015,1500,180000,manual,Silver,92000
369,Kia,Cerato,2010,1600,194000,automatic,Silver,215000
370,Opel,Astra,2015,1600,115000,automatic,Light grey,235000
371,Byd,F3,2013,1600,60000,manual,White,65000
372,Kia,Rio,2014,1600,115000,automatic,Silver,195000
373,Chevrolet,Lanos,2011,1500,282000,manual,Silver,93000
374,Hyundai,Elantra HD,2008,1600,152000,automatic,Silver,210000
375,Chevrolet,Lanos,2011,1600,140000,manual,Black,90000
376,Chevrolet,Lanos,2013,1600,114000,manual,Red,105000
377,Hyundai,Verna,2016,1600,101790,manual,Silver,130000
378,Nissan,Sunny,2016,1600,70000,automatic,Mocha,145000
379,Renault,Logan,2018,1600,70000,automatic,Silver,195000
380,Hyundai,Accent,2011,1600,95000,manual,Red,160000
381,Nissan,Sunny,2007,1600,180000,automatic,Dark green,136000
382,Opel,Astra,2016,1600,150000,automatic,Eggplant,250000
383,Nissan,Sunny,2013,1600,128000,automatic,Black,145000
384,Mitsubishi,Lancer,2015,1600,185000,automatic,White,270000
385,Chevrolet,Lanos,2011,1500,107000,manual,Gray,110000
386,Chevrolet,Optra,2009,1500,178000,automatic,Silver,130000
387,Peugeot,301,2015,1600,130000,manual,Gray,148000
388,Hyundai,Elantra HD,2019,1600,85000,automatic,Silver,260000
389,Kia,Rio,2012,1400,115000,automatic,Mocha,198000
390,Byd,F3,2018,1500,145000,manual,Black,155000
391,Lada,2110,2006,1600,118000,manual,Dark green,40000
392,Byd,F3,2014,1600,80000,manual,Silver,125000
393,Chevrolet,Malibu,2017,1600,129000,automatic,White,330000
394,Nissan,Sunny,2007,1600,270000,automatic,Silver,145000
395,Kia,Cerato,2014,1600,162000,automatic,Black,245000
396,Byd,F3,2015,1500,330000,manual,White,107000
397,Nissan,Sunny,2017,1600,160000,automatic,Gray,170000
398,Hyundai,Accent,1995,1600,160000,manual,Red,62000
399,Speranza,A516,2009,1600,55000,manual,White,45000
400,Chery,Envy,2018,1500,115000,manual,Dark red,120000
401,Hyundai,Verna,2007,1600,207000,manual,Black,105000
402,Renault,Logan,2019,1600,42000,automatic,Light grey,215000
403,Chevrolet,Optra,2011,1600,230000,automatic,Cyan,137000
404,Chevrolet,Optra,2020,1500,70000,automatic,Dark blue,250000
405,Volvo,S60,2015,1600,131000,automatic,Silver,350000
406,Kia,Cerato,2015,1600,65000,automatic,Petroleum,345000
407,Geely,Emgrand 7,2014,1500,120000,manual,Champagne,125000
408,Byd,F3,2015,1500,125000,automatic,Gray,142000
409,Geely,Ck,2009,1500,120000,manual,Black,65000
410,Skoda,Octavia A4,2005,1600,200000,manual,Silver,140000
411,Kia,Sephia,2000,1600,154000,automatic,Champagne,85000
412,Chevrolet,Aveo,2007,1400,230000,manual,White,110000
413,Hyundai,Accent,1998,1500,226000,manual,White,70000
414,Chevrolet,Aveo,2011,1500,156000,manual,Dark red,105000
415,Hyundai,Accent,2009,1600,137000,manual,Cyan,160000
416,Hyundai,Verna,2013,1600,174000,manual,Silver,140000
417,Fiat,Siena,2001,1600,145000,manual,Silver,57000
418,Renault,Logan,2017,1600,200000,manual,Silver,127000
419,Geely,Emgrand 7,2015,1600,270000,manual,Dark red,65000
420,Chevrolet,Lanos,2011,1500,200000,manual,Black,100000
421,Hyundai,Solaris,2017,1400,137000,automatic,Red,200000
422,Nissan,Sentra,2019,1600,63000,automatic,Gray,295000
423,Kia,Spectra,2003,1600,190000,manual,Cyan,92000
424,Renault,Logan,2015,1600,160000,manual,Dark blue,100000
425,Speranza,A516,2007,1600,100000,manual,Gray,70000
426,Nissan,Sunny,2020,1600,40000,automatic,Light grey,185000
427,Chevrolet,Lanos,2014,1500,95000,manual,Dark red,125000
428,Renault,Clio,2006,1400,140000,manual,White,85000
429,Nissan,Sunny,2017,1400,200000,automatic,Silver,160000
430,Peugeot,508,2014,1600,66000,automatic,Cyan,250000
431,Renault,Megane,2020,1600,26000,automatic,White,310000
432,Renault,Megane,2018,1600,70000,automatic,Black,250000
433,Daewoo,Nubira 1,1997,1600,200000,automatic,Dark green,65000
434,Speranza,A516,2014,1600,150000,manual,Silver,100000
435,Lada,Granta,2019,1600,85000,manual,Brown,135000
436,Speranza,A516,2009,1600,165000,manual,Gold,77000
437,Geely,Emgrand 7,2014,1500,195000,manual,Champagne,100000
438,Daewoo,Nubira 2,2007,1600,120000,manual,Cyan,95000
439,Daewoo,Nubira 2,2004,1600,297000,automatic,Olive,95000
